"","gene.name","mean.exp","mean.disp","mean.disp2","opt.exp","opt.disp","opt.disp2"
"532","Anp32e",0.652720144394929,2.46902956048191,2.04190133899985,0,0.436875567665763,0.916439600363318
"533","Sv2a",3.44236080311303,3.43281823291512,1.20657025002844,0.997275204359686,0.829246139872853,0.339691189827433
"534","Gm20633",1.96645585989617,2.56400389304261,1.30886321416957,0.328792007266125,0.465031789282475,0.374205267938242
"535","Hist2h2aa1",2.26008390007138,3.14824643729099,1.7401119204748,0.384196185286107,0.568574023614902,0.592188919164403
"536","Hist2h3b",1.65126832760063,2.39759235900043,1.40092023575183,0.22979109900091,0.397820163487742,0.415985467756589
"537","Hist2h2bb",3.57257376315374,2.95575476211394,1.98553534399105,0.903723887375125,0.617620345140788,0.642143505903731
"538","Txnip",2.78277268809296,2.47912906112702,1.32229779375087,0.87829246139874,0.471389645776572,0.387829246139877
"539","Pdzk1",3.35789186353402,3.49619486123043,1.46966089129781,0.870118074477758,0.739327883742062,0.446866485013629
"540","Notch2",3.31091653583054,1.73237764014692,3.13985896939588,1.00000000000001,0.233424159854679,0.984559491371493
"541","Phgdh",3.01073004263615,3.30930296975828,1.80303220062015,1.00000000000001,0.992733878292474,0.842870118074488
"542","Igsf3",0.717474976708058,1.29575419185391,2.13676090199027,0,0.0644868301544051,0.794732061762044
"543","Slc22a15",2.69154959769503,2.61441029587429,2.26733544635072,0.744777475022716,0.556766575840152,0.828337874659411
"544","Nhlh2",4.21203605919329,2.34197093290417,3.98303787830379,1.00000000000001,0.440508628519532,1.00000000000001
"545","Vangl1",2.37278518568533,3.13464544859862,1.27218662686605,0.453224341507725,0.559491371480479,0.351498637602183
"546","Ngf",3.32081640607554,3.49976326728887,2.44904881746468,0.752951861943697,0.63760217983652,0.773841961852871
"547","Syt6",3.7627407590527,4.63334009741509,1.31946734144715,0.870118074477758,0.855585831062681,0.400544959128069
"548","Olfml3",4.67477175710265,4.7920134383329,1.25050213860083,0.990009082652147,0.879200726612182,0.350590372388741
"549","Rhoc",2.66238648328385,1.87209549045683,1.10370688114175,0.896457765667586,0.195277020890101,0.269754768392373
